name,price,brand,sku,Subcategoria
Resfinatur,11.62,El Naturalista,LP-0058364,Fitoterapia
Botella Alcachofa,13.15,Laboratoires Juvamine,LP-0015745,Fitoterapia
Gincosan,13.3,SFI Health/Klaire Labs,LP-0011916,Fitoterapia
Cúrcuma antioxidante,13.46,Himalaya Herbals,LP-0144132,Fitoterapia
Jengibre Raíz (Ginger Root),19,Health Aid,LP-0023830,Fitoterapia
Echina Defens,10.6,Pinisan,LP-0031253,Fitoterapia
Aloe Vera- Jugo de arándano,20.85,ESI,LP-0064576,Fitoterapia
Anifen hinojo y arándano azul,22,Forza Vitale,LP-0010802,Fitoterapia
Hierba Anís Estrellado,5.3,Herbaldi,LP-0003872,Fitoterapia
Hierba de Salvia Triturada,19.47,Plameca,LP-0044948,Fitoterapia
Depan 250 residuos metabólicos,18.99,Forza Vitale,LP-0011246,Fitoterapia
Ginseng coreano,33.61,IL HWA,LP-0018781,Fitoterapia
"Pressura Complex con aceite de ajo, espino blanco y hojas de olivo",21.61,Zenement,LP-0168199,Fitoterapia
Definido 806 - Tian Ma Gou Teng Yin,31.41,Erlingen,LP-0190645,Fitoterapia
Progen Plactive,93.42,Pharmadiet,LP-0067033,Fitoterapia
Agua de Salvia Esclarea Hidrolato Bio,11.71,Terpenic,LP-0044935,Fitoterapia
Cedro del libano,11.9,Erbenobili,LP-0075768,Fitoterapia
Relaxen con Valeriana y Pasiflora,13.65,Dietmed,LP-0011533,Fitoterapia
Ginkgo Biloba 6000 mg,13.46,Nature Essential,LP-0018765,Fitoterapia
Ginseng Siberiano,7.17,Naturbite,LP-0018800,Fitoterapia
Aceite Esencial de Arbol Del Te Eco,13.15,Integralia,LP-0160766,Fitoterapia
Aceite Esencial de Orégano,11.05,Plantis,LP-0029049,Fitoterapia
Extracto de rompepiedras,10.37,Plantis,LP-0065005,Fitoterapia
Abedul Corteza,1.45,Nova Diet,LP-0000030,Fitoterapia
Fitorient Hf ( Humedad Frio),21.31,Lumen - Productos Holisticos,LP-0011504,Fitoterapia
Triestop Café Verde,19.81,Eladiet,LP-0007224,Fitoterapia
Capsudiet Ginkgo Biloba,10.46,Plameca,LP-0107409,Fitoterapia
Aceite Esencial Eucalipto Azul,5.12,Pranarom,LP-0117853,Fitoterapia
Vipulam fludibium mantenimiento de las mucosas,20.73,Heliosar,LP-0174951,Fitoterapia
Mixtract 14 Erba Venal Bio,16,Santiveri,LP-0038664,Fitoterapia
Maca Andina 500 mg,7.91,NOW Foods,LP-0039057,Fitoterapia
Vibroextract Sistema Nervioso,22.28,Equisalud,LP-0010833,Fitoterapia
Casenfibra en Polvo,17.36,Casen Recordati,LP-0051596,Fitoterapia
Tila Flor,2.67,Nova Diet,LP-0047486,Fitoterapia
Mirtilo extracto de baya con arándano (Vaccinium myrtillus),36.16,Solgar,LP-0027428,Fitoterapia
Menosoy Dr.Dunner,20.82,Salus,LP-0010480,Fitoterapia
Plantas fit cápsulas ashwagandha,12.95,Santiveri,LP-0192155,Fitoterapia
Luigcalm,20.74,Luigco,LP-0156293,Fitoterapia
Red Yeast Rice (Levadura Roja de Arroz),17.18,Physalis,LP-0024477,Fitoterapia
Hepalive (Extracto de Alcachofa),12.8,MARNYS®,LP-0003052,Fitoterapia
Aceite de sésamo 1ª presión en frío Bio,10.5,Sol Natural,LP-0037450,Fitoterapia
Aceite esencial de Orégano Bio,9.29,Physalis,LP-0029066,Fitoterapia
Las diez hierbas - Flor,13.79,ESI,LP-0064607,Fitoterapia
Ginkgo biloba,11.6,Nova Diet,LP-0186447,Fitoterapia
Cistomar bienestar urinario,12.83,MARNYS®,LP-0191190,Fitoterapia
Rabano Negro Plus,18.65,Integralia,LP-0037639,Fitoterapia
Aceite Esencial Naranjo Amargo,6.16,Pranarom,LP-0039123,Fitoterapia
Maca cruda 750mg,17.9,NOW Foods,LP-0040377,Fitoterapia
Epavin compost hepático,19.8,Erbenobili,LP-0075753,Fitoterapia
Gominolas sueño,17.68,Pranarom,LP-0168884,Fitoterapia
Ashwagandha orgánica 2160 mg con pimienta negra,27.97,Aldous Bio,LP-0204898,Fitoterapia
Aceite esencial de romero,5.96,Sol Natural,LP-0182344,Fitoterapia
Cynarpol Plus,22.08,Plantapol,LP-0010530,Fitoterapia
Echinacea Forte,17.19,Biover,LP-0031044,Fitoterapia
Aceite Esencial de Canela de Ceilán Bio,16.99,Pranarom,LP-0007444,Fitoterapia
Dren Originalia Jarabe,18.75,Integralia,LP-0011232,Fitoterapia
Trébol rojo extracto,17.35,Viridian,LP-0215402,Fitoterapia
Meno stages,47.15,Solaray,LP-0205164,Fitoterapia
Esencia Menta,9.32,Soria Natural,LP-0037425,Fitoterapia
LES Populus Nigra circulación,13.66,Forza Vitale,LP-0037731,Fitoterapia
Valeriana,7.63,Obire,LP-0048848,Fitoterapia
Aceite esencial de canela ceilán Bio y 100% puro,7.2,Dr. Organic,LP-0214478,Fitoterapia
Papaya Plus función digestiva,19,Forza Vitale,LP-0037715,Fitoterapia
Ginseng Rojo Coreano,8.78,Sotya,LP-0018788,Fitoterapia
LES Crataegus Oxyacantha menopausia,13.45,Forza Vitale,LP-0016103,Fitoterapia
Extracto Vara de Oro (Solidago) Bio,10,Physalis,LP-0048939,Fitoterapia
Ginseng Rojo Coreano,8.78,Sotya,LP-0018788,Fitoterapia
Carviflat discrimium función intestinal,20.73,Heliosar,LP-0174910,Fitoterapia
Esencia Lavanda (Spica) Bio,6.89,Physalis,LP-0024045,Fitoterapia
Celidonia,2.39,Josenea,LP-0038895,Fitoterapia
Psyllium extra fino,14.03,Nature et Partage,LP-0040246,Fitoterapia
LES Ficus Carica aparato digestivo,13.8,Forza Vitale,LP-0022831,Fitoterapia
Cranberry cyst pocket drink,19.16,ESI,LP-0004794,Fitoterapia
Valeriana Raíz triturada,6.72,Soria Natural,LP-0048836,Fitoterapia
"Astrágalo, Sauco y Ajo Complex (Resistance Support)",27.24,Terranova,LP-0044994,Fitoterapia
Nauserina,4.8,Deiters,LP-0023861,Fitoterapia
Jugo de Higo Chumbo,13.57,Salus,LP-0037491,Fitoterapia
Vid Roja,2.54,Infutisa,LP-0039665,Fitoterapia
Maca Bio,7.96,Sol Natural,LP-0001483,Fitoterapia
Ashwagandha extracto Bio,24.81,Viridian,LP-0052005,Fitoterapia
Phyto Min Salvia,23.99,Ifigen,LP-0044905,Fitoterapia
S.O.S active,15.12,Tongil,LP-0010339,Fitoterapia
Curcum Actif cúrcuma,16.18,Physalis,LP-0014362,Fitoterapia
Aceite CBD 5% Full Spectrum,25.17,Aldous Bio,LP-0209430,Fitoterapia
"Diente de León, Alcachofera y Cisteina Complex",21.71,Terranova,LP-0037366,Fitoterapia
Aceite esencial bio de caña de limón,5.82,Labiatae,LP-0039087,Fitoterapia
Espino Blanco Plus,9.8,Integralia,LP-0010683,Fitoterapia
Cúrcuma Extracto Titulado,18.58,Pinisan,LP-0014313,Fitoterapia
Hepatoplan Forte,8.51,Zentrum,LP-0142427,Fitoterapia
Oleocaps 5 - Ciclo menstrual Bio,10.49,Pranarom,LP-0119025,Fitoterapia
Extracto de curcumina 95% 665 mg,47.11,NOW Foods,LP-0164657,Fitoterapia
Aceite vegetal de neem Bio,17.7,Terpenic,LP-0192410,Fitoterapia
LES Fagus Sylvatica funcionalidad renal,13.4,Forza Vitale,LP-0037733,Fitoterapia
Aceite esencial de limón Bio,7.75,Esential Aroms,LP-0038499,Fitoterapia
Hierba Malvavisco Raíz,15.83,Plameca,LP-0038624,Fitoterapia
Cúrcuma,14.45,Santiveri,LP-0014373,Fitoterapia
Rabalchofit Bio (bienestar del hígado),19.12,Superdiet,LP-0010390,Fitoterapia
Aceite Vegetal pepita de uva refinado,9.31,Terpenic,LP-0001627,Fitoterapia
Rhodiola complex,16.22,Viridian,LP-0063549,Fitoterapia
Arkocapsulas Plantago Bio,15.41,Arkopharma,LP-0160628,Fitoterapia
Aceite cannabis,23.9,Cfn,LP-0164700,Fitoterapia
Focus,23.19,Paleobull,LP-0172552,Fitoterapia
Circular piernas cansadas,19.38,Nova Diet,LP-0201130,Fitoterapia
Phytobiopole Pasiflora (Relax),9.23,Intersa,LP-0036233,Fitoterapia
Aceite Esencial de Sándalo,9.65,Plantis,LP-0037884,Fitoterapia
Aceite esencial de semillas de zanahoria,11.28,Esential Aroms,LP-0038510,Fitoterapia
Aceite esencial de eucalipto limón,7.1,MARNYS®,LP-0016325,Fitoterapia
Golamir 2ACT spray,11.56,Aboca,LP-0034760,Fitoterapia
Aceite esencial de clavo,6.61,Aromasensia,LP-0113872,Fitoterapia
Drenante (limón),12.74,Gold Nutrition,LP-0198416,Fitoterapia
Aceite Esencial de Citronela,6.1,MARNYS®,LP-0038564,Fitoterapia
Aceite Esencial Ravintsara,11.61,Terpenic,LP-0037956,Fitoterapia
Aceite esencial de romero,12.91,Mon Deconatur,LP-0038393,Fitoterapia
Uña de Gato,15.68,Naturmil,LP-0038962,Fitoterapia
Extracto de Gayuba,7.87,Plantis,LP-0018361,Fitoterapia
Arkocápsulas Alcachofa BIO,13.42,Arkopharma,LP-0125241,Fitoterapia
Resiliens Essentials,38.72,100% Natural,LP-0140772,Fitoterapia
Aceite Esencial de Menta Piperita Bio,28.95,Pranarom,LP-0163235,Fitoterapia
Silverdtox detox,43.91,Inmunelab,LP-0203716,Fitoterapia
Passiflora (Ext seco),6.78,Obire,LP-0036266,Fitoterapia
Psyllium rubio sistema digestivo,11.36,Nature et Partage,LP-0040239,Fitoterapia
Cynasine Detox,30.46,Dietmed,LP-0011523,Fitoterapia
Uricist,19.76,Pinisan,LP-0011719,Fitoterapia
Meteor Mech bienestar intestinal,24.19,Gianluca Mech,LP-0011244,Fitoterapia
Uña de Gato,10.05,Neo,LP-0037577,Fitoterapia
Olivo Bolsa,1.99,Soria Natural,LP-0028990,Fitoterapia
Lycorose (Rosa Mosqueta Selección),31.8,Esential Aroms,LP-0044305,Fitoterapia
Higabol,8.33,Abad,LP-0011510,Fitoterapia
Semillas de albaricoque Bio con vitamina C,31.23,Ayursana,LP-0037354,Fitoterapia
Capsudiet Hinojo,8.71,Plameca,LP-0040366,Fitoterapia
Aceite de Árbol del Té,18.36,ESI,LP-0004946,Fitoterapia
Adoner empatium función cardiaca,20.73,Heliosar,LP-0174898,Fitoterapia
Levadura de cerveza Eco,8.31,Robis,LP-0182096,Fitoterapia
Alerce orgánico,9.53,Biofloral,LP-0017089,Fitoterapia
Levadura de Cerveza,17.16,Naturmil,LP-0024433,Fitoterapia
Aceite esencial clavo,7.17,Esential Aroms,LP-0009670,Fitoterapia
Adrenal (estrés físico y psicológico),29.95,Nutramedix,LP-0037569,Fitoterapia
Cardo Santo,2.61,Plantis,LP-0038701,Fitoterapia
Fitorient Vg (Vacio Global),21.35,Lumen - Productos Holisticos,LP-0011506,Fitoterapia
Aceite Esencial de Eucalipto Radiata Bio,19.59,Pranarom,LP-0163233,Fitoterapia
Esencia salvia Bio,11.86,Eladiet,LP-0188745,Fitoterapia
Epatik Detox,13.3,Drasanvi,LP-0037791,Fitoterapia
Cardo Mariano,12.95,Santiveri,LP-0007866,Fitoterapia
Curcumina,22.61,Nature et Partage,LP-0014374,Fitoterapia
Zumo de Aloe Vera Potencia Máxima,12.34,Aloe Pura,LP-0003497,Fitoterapia
Aceite esencial de menta piperita Bio,6.99,Puressentiel,LP-0026472,Fitoterapia
Alcachofa,11.61,PhytoPharma,LP-0209525,Fitoterapia
Sanatorium estreñimiento,7.65,Santiveri,LP-0199748,Fitoterapia
Phytobiopole Tomillo (Expectorante Antimicrobiano),9.65,Intersa,LP-0048284,Fitoterapia
Aceite esencial ciprés,6.78,Terpenic,LP-0037393,Fitoterapia
Levadura De Cerveza Revificable.,16.29,Plannatur,LP-0024395,Fitoterapia
Hierba Zarzaparrilla Raíz,4.05,Herbaldi,LP-0049677,Fitoterapia
Valeriana Leo Angelini,13.97,Natura Essenziale,LP-0052566,Fitoterapia
Flores De Bach Castaño Dulce-30 Elixir Floral Eco,8.3,Plantis,LP-0016761,Fitoterapia
Garcinia cambogia 3000 mg,17.8,Vecos,LP-0116924,Fitoterapia
Msa Aesculus Hippoca,10.98,Herboplanet,LP-0117324,Fitoterapia
Cats claw uña de gato,39.95,Naturemost,LP-0191328,Fitoterapia
Garcinia Cambogia,8.45,Sakai,LP-0037484,Fitoterapia
Aceite esencial cedro atlas,7.28,Esential Aroms,LP-0038493,Fitoterapia
Agata Kimiya estado emocional,26,Forza Vitale,LP-0016812,Fitoterapia
Aceite esencial Lavanda Verdadera Bio,15.41,Physalis,LP-0024046,Fitoterapia
Levadura de Cerveza Germen de Trigo,4.74,Sotya,LP-0029617,Fitoterapia
Ajo negro forte,10.23,Zentrum,LP-0038480,Fitoterapia
Maca andina en polvo,5.19,Stevia Premium,LP-0038975,Fitoterapia
Esencia Lemongras Bio,4.94,Physalis,LP-0040099,Fitoterapia
Pylostop,27.45,Mundonatural,LP-0011205,Fitoterapia
Prebio akkerma control de peso y azucar,36.96,Alfa Herbal,LP-0200714,Fitoterapia
ESI Fit bloquea,11.16,ESI,LP-0167792,Fitoterapia
Digest stop,8.07,Pranarom,LP-0196815,Fitoterapia
Mandravasarotra Aceites Esenciales Naturales,10.25,Pranarom,LP-0039196,Fitoterapia
Desmodium 1000,24.37,BioLife,LP-0039611,Fitoterapia
Espliego,1.61,Nova Diet,LP-0040189,Fitoterapia
NA Extracto seco de pomelo,28.99,Ifigen,LP-0030501,Fitoterapia
Cebolla,15.59,Espadiet,LP-0030708,Fitoterapia
Formula 4 Miedo Complejo Floral,13.95,MARNYS®,LP-0016660,Fitoterapia
Papaya,4.81,Sanon,LP-0149612,Fitoterapia
Ayurveda Haritaki Holofit,23.48,Equisalud,LP-0038269,Fitoterapia
Allfor Plus alérgias y mareos,23,Forza Vitale,LP-0010803,Fitoterapia
Flores De Bach Violeta Agua-34 Elixir Floral Eco,10.15,Plantis,LP-0016754,Fitoterapia
Extracto de Llanten Eco sin Alcohol,11.23,Plantis,LP-0024597,Fitoterapia
Hierba Gayuba Hoja,1.48,Plameca,LP-0018364,Fitoterapia
H-Palimp,12.25,Tegor,LP-0010368,Fitoterapia
LES Rosa Canina vías respiratorias y articulaciones,13.99,Forza Vitale,LP-0044309,Fitoterapia
Vibroextract Agua,22.28,Equisalud,LP-0010839,Fitoterapia
Fenogreco Holofit,21.63,Equisalud,LP-0016612,Fitoterapia
Extracto de Melisa,10.36,Plantis,LP-0026406,Fitoterapia
Alexifar sistema inmune,21.95,Heliosar,LP-0174899,Fitoterapia
Alyvium,26.81,Universo Natural,LP-0038296,Fitoterapia
Hierba Levistico Apio Raiz,4.21,Flor Pirineo,LP-0038646,Fitoterapia
Tsa Hypericum Perforatum Sumidades,12.21,Herboplanet,LP-0032281,Fitoterapia
Manasul Instant Diet & Detox granulado instantáneo,8.13,Bio3,LP-0032353,Fitoterapia
Melised-T relajación,21.99,Forza Vitale,LP-0010801,Fitoterapia
Hierba Árnica Flor Trit,31.68,Plameca,LP-0005085,Fitoterapia
Holoextract Zostrin,14.52,Equisalud,LP-0011254,Fitoterapia
Pack Auténtico aceite CBD Oil 15%,63,Aldous Bio,LP-0208848,Fitoterapia
Jengibre polvo Bio,4.25,Dream Foods,LP-0199361,Fitoterapia
Tilo corteza,2.89,NATURCID,LP-0199627,Fitoterapia
Planta Bb Kids,14.61,Prisma Natural,LP-0038369,Fitoterapia
Slim drenante piña,19.14,Forté Pharma,LP-0012358,Fitoterapia
Extracto de equinácea,8.3,Equisalud,LP-0015789,Fitoterapia
Prostanatur,28.45,Dietmed,LP-0011893,Fitoterapia
Aceite Esencial Jengibre,6.52,Terpenic,LP-0157733,Fitoterapia
Garcinia + café verde,6.37,Health4U,LP-0145809,Fitoterapia
Flower of Life Sentido de la Vida,13.33,Equisalud,LP-0017646,Fitoterapia
Salvado de Trigo,6.99,Santiveri,LP-0048577,Fitoterapia
Pasiflora,18.22,Plameca,LP-0036258,Fitoterapia
Ayurveda Vasaka Holofit,14.81,Equisalud,LP-0038276,Fitoterapia
"Levadura cerveza, germen trigo y tiamina (B1)",8.63,Ana Maria Lajusticia®,LP-0032628,Fitoterapia
Cynasine Detox,36.7,Dietmed,LP-0011879,Fitoterapia
Herbadetox Bio (antiguo Herbadraine),23,Phytoceutic,LP-0019484,Fitoterapia
Herbadetox Bio (antiguo Herbadraine),23,Phytoceutic,LP-0019484,Fitoterapia
SYS Artemisa ciclo menstrual,15.5,Forza Vitale,LP-0005715,Fitoterapia
Aceite esencial de citronela de Java,5.05,Propos Nature,LP-0078289,Fitoterapia
Optimax Drena Cell (celulitis),16.5,Optima,LP-0162791,Fitoterapia
Orégano con vitamina C y biotina,12.84,Dietmed,LP-0174153,Fitoterapia
Conecta-ON memoria y función cognitiva,43,Zeus,LP-0214561,Fitoterapia
Activ Digest,16.8,LOV Natural Solutions,LP-0209600,Fitoterapia
Prostameder (próstata),65,Méderi,LP-0209695,Fitoterapia
Extracto de Vid Roja,8.28,Plantis,LP-0037881,Fitoterapia
Bamboo,25,Solaray,LP-0037893,Fitoterapia
Gymnema Sylvestre St,17.94,Cfn,LP-0038891,Fitoterapia
Ginseng con jalea real y acerola Bio,20.99,Superdiet,LP-0029574,Fitoterapia
Canela,28.09,Lamberts,LP-0007449,Fitoterapia
Relaxen con Valeriana y Pasiflora,8.33,Dietmed,LP-0011532,Fitoterapia
Onagra + Borraja,14.52,Physalis,LP-0080352,Fitoterapia
Ginkgo extra fuerte 120 mg,15.9,Doctor's Best,LP-0126390,Fitoterapia
Aceite esencial menta piperita,7.93,Terpenic,LP-0163200,Fitoterapia
Echina Propos Spray Bucal,7.52,Ynsadiet,LP-0032184,Fitoterapia
Nutrabasics cúrcuma,14.15,Drasanvi,LP-0038438,Fitoterapia
Apio Holofit,23.58,Equisalud,LP-0038840,Fitoterapia
Aceite esencial de limón de Litsea (Litsea cubeba) ORGÁNICO,7.71,Herbes & Traditions,LP-0039886,Fitoterapia
Remineralizante Holofit,19.75,Equisalud,LP-0030689,Fitoterapia
Bronsi Total Jarabe,11.74,Espadiet,LP-0010608,Fitoterapia
Agnus castus plus,13.5,Naturlider,LP-0191447,Fitoterapia
Cúrcuma 12000 Mg,36.2,Derbós,LP-0209796,Fitoterapia
Garcinia Cambogia,20.74,Solaray,LP-0038785,Fitoterapia
Esencia de Laurel Bio,10.57,Physalis,LP-0024003,Fitoterapia
Alcachofera,18.19,Solaray,LP-0052447,Fitoterapia
Flores De Bach Brezo-14 Elixir Floral Eco,8.3,Plantis,LP-0016750,Fitoterapia
Poder Naranja,22.52,Biform,LP-0082058,Fitoterapia
Melisa hoja triturada,20.01,Plameca,LP-0026416,Fitoterapia
Aceite esencial de romero cineol bio,6.82,Puressentiel,LP-0149272,Fitoterapia
Curcumin plus antioxidante y salud articular,7.88,GHF,LP-0190723,Fitoterapia
Cysticlean 240mg (vías urinarias),29.29,Cysticlean,LP-0203660,Fitoterapia
Pack Isoflavonas de soja + calcio para menopausia,24.45,Vecos,LP-0192950,Fitoterapia
Lymph relief (sistema linfático),39.9,Golden Tree,LP-0214914,Fitoterapia
Griffonia 5HTP,35.88,n&n Nova Nutricion,LP-0213512,Fitoterapia
Agua De Jara Hidrolato Bio,10.44,Terpenic,LP-0038346,Fitoterapia
Cardo Mariano Forte,13.07,Physalis,LP-0007857,Fitoterapia
Equinácea con propóleo,17.94,El Naturalista,LP-0058394,Fitoterapia
Capsudiet Alcachofera,8.71,Plameca,LP-0141754,Fitoterapia
Stevia Hoja Nacional Extra,42.55,Plameca,LP-0164981,Fitoterapia
Aceite CBD 15% Full Spectrum,52.24,Aldous Bio,LP-0209429,Fitoterapia
Agua de Ciprés Hidrolato Bio,10.44,Terpenic,LP-0038342,Fitoterapia
SYS Echinacea defensas,15.8,Forza Vitale,LP-0015786,Fitoterapia
Capsudiet Harpagofito,8.71,Plameca,LP-0090283,Fitoterapia
Azeol jarabe,11.08,Pileje,LP-0181726,Fitoterapia
Aceite Esencial de Cedro,5.69,Plantis,LP-0037868,Fitoterapia
Fitorient V.S.H. (Vacío de Sangre en Hígado),23.81,Lumen - Productos Holisticos,LP-0011833,Fitoterapia
Jugo Aloe Vera Puro,25.99,Santiveri,LP-0003499,Fitoterapia
Aceite esencial de Cilantro,10.15,Pranarom,LP-0003600,Fitoterapia
Digestivo Confort,14.13,VITALART,LP-0142756,Fitoterapia
Sueño complet instant spray,21.19,Kneipp,LP-0169454,Fitoterapia
Vigoranat maca,6.95,Naturtierra,LP-0194008,Fitoterapia
Transit+ tránsito intestinal,12.01,Physalis,LP-0213609,Fitoterapia
Prinadap sistema nervioso,30.16,Heliosar,LP-0174940,Fitoterapia
Romero ct.verbenon aceite esencial Bio,13.87,Physalis,LP-0181655,Fitoterapia
VigoriZen energía y reproducción masculina,20.9,Zenement,LP-0208769,Fitoterapia
Extracto de Espino Blanco,9.15,Eladiet,LP-0016107,Fitoterapia
Valeriana Fitoextractos,6.1,Sotya,LP-0048838,Fitoterapia
Epamix (Tarassaco-Plus) digestión,21,Forza Vitale,LP-0010764,Fitoterapia
Slim drenante cítricos,17.01,Forté Pharma,LP-0012359,Fitoterapia
Acicontrol rapid acidez,11.4,Naturando,LP-0123097,Fitoterapia
Arándanos - ojos y visión,26.4,New Nordic,LP-0186413,Fitoterapia
Acerola Masticable,13.25,Plantapol,LP-0038178,Fitoterapia
LES Tilia Tomentosa relajación,13.65,Forza Vitale,LP-0047454,Fitoterapia
Bienestar Urinario,9.73,VITALART,LP-0142754,Fitoterapia
LES Castanea Vesca circulación,13.59,Forza Vitale,LP-0037734,Fitoterapia
Aceite esencial de orégano Bio,10.38,Puressentiel,LP-0029050,Fitoterapia
Hepur Plus,29.67,Plantis,LP-0011110,Fitoterapia
PSC Salix Alba sistema inmune,26,Forza Vitale,LP-0044985,Fitoterapia
Thym,21.63,Fenioux,LP-0048240,Fitoterapia
Extracto de Maca,26.94,Bonusan,LP-0038136,Fitoterapia
Esencia Eucalipto,8.46,Soria Natural,LP-0016299,Fitoterapia
Erva de Flor Triturada de Espino Blanco,16.47,Plameca,LP-0016128,Fitoterapia
Flavonoides Holofit,15.69,Equisalud,LP-0010876,Fitoterapia
10 C Diurín (Fórmula XXI),11.26,Soria Natural,LP-0011347,Fitoterapia
Esencia de menta piperita,9.51,Esential Aroms,LP-0026457,Fitoterapia
Equinácea forte,14.62,Physalis,LP-0191554,Fitoterapia
Sol de oro,13.48,Neo,LP-0037578,Fitoterapia
Menopausia+,13.94,Physalis,LP-0035351,Fitoterapia
Concentrado de cúrcuma,12.51,PhytoPharma,LP-0209534,Fitoterapia
Arándano Puro,10.65,Colours of life,LP-0168114,Fitoterapia
Raíz de Menta Piperita Triturada,2.43,Soria Natural,LP-0037413,Fitoterapia
Aceite Esencial Abeto Balsámico Bio,11.16,Terpenic,LP-0038195,Fitoterapia
Maca Bio,12.95,El Granero Integral,LP-0038768,Fitoterapia
Cola de Caballo,5.36,Health4U,LP-0009831,Fitoterapia
Eucalipto,2.98,Josenea,LP-0016335,Fitoterapia
Flower of Life Culpa,13.33,Equisalud,LP-0017650,Fitoterapia
Echinaid Ext. Hidroalcohólico,21.56,ESI,LP-0015760,Fitoterapia
Mental-up Holomega,28.3,Equisalud,LP-0011825,Fitoterapia
Nutrabasics Salvia,10.46,Drasanvi,LP-0044958,Fitoterapia
Isoflavonas,17.1,Ebers,LP-0012137,Fitoterapia
Aceite esencial de árbol de té,7.82,Puressentiel,LP-0004975,Fitoterapia
Palos de regaliz,5.31,Farmaderbe,LP-0055121,Fitoterapia
Arándano rojo con vitamina C,17.9,NOW Foods,LP-0034061,Fitoterapia
Salvia con vitamina B6 y zinc,15.78,Dietmed,LP-0200800,Fitoterapia
Té verde,31.28,Lamberts,LP-0031433,Fitoterapia
Treman Hepa Plus,13.3,Espadiet,LP-0010360,Fitoterapia
Cúrcuma de liberación rápida,41.82,Lamberts,LP-0052018,Fitoterapia
Memorplus,32.63,Mundonatural,LP-0033081,Fitoterapia
Cúrcuma gotas (Curcuma longa) Bio,10.79,Physalis,LP-0181621,Fitoterapia
Gemmocaps Perimenopausia Bio,21.34,Herbalgem,LP-0209563,Fitoterapia
Hierba Pasiflora,2.84,Herbaldi,LP-0036256,Fitoterapia
Fertimac (reproducción),44.5,Zeus,LP-0037345,Fitoterapia
Resfristop Naranja,20.1,Pharmadiet,LP-0011456,Fitoterapia
Esencia lavanda Bio,11.01,Eladiet,LP-0188748,Fitoterapia
Vid Roja,11.59,Neo,LP-0037579,Fitoterapia
LES Pinus Montana sistema osteoarticular,13.9,Forza Vitale,LP-0037727,Fitoterapia
Naturlife Orégano,11.83,Espadiet,LP-0037758,Fitoterapia
Flores De Bach Clematide-9 Elixir Floral Eco,8.3,Plantis,LP-0016868,Fitoterapia
Flower of Life Perdidas Afectivas,13.33,Equisalud,LP-0017654,Fitoterapia
Shoyosan Holofit,26.12,Equisalud,LP-0030665,Fitoterapia
Micionat,10.43,Bioserum,LP-0011294,Fitoterapia
Bipôle Cardus Complex,20.15,Intersa,LP-0068878,Fitoterapia
Mangostan (Zumo),24.77,Plantis,LP-0037876,Fitoterapia
Flores De Bach Hojarazo-17 Elixir Floral Eco,8.95,Plantis,LP-0016782,Fitoterapia
Castaño de Índias Capsudiet,8.71,Plameca,LP-0008117,Fitoterapia
Alcachofit Bio (bienestar del hígado),14.77,Superdiet,LP-0029579,Fitoterapia
Esencia Geranio Bio,11.4,Physalis,LP-0018576,Fitoterapia
Diretik,9.56,Nova Diet,LP-0011168,Fitoterapia
Salvia de Hojas de Lavanda Bio,8.12,Pranarom,LP-0044922,Fitoterapia
Hierba Diente León Triturado,20.32,Herbaldi,LP-0015370,Fitoterapia
Hs 102 Bardana Comp. Gotas,20.28,Herboplanet,LP-0005974,Fitoterapia
Aceite natural oil blend 20% CBD Bio,30.33,Soria Natural,LP-0169418,Fitoterapia
Macamar maca andina,16.14,MARNYS®,LP-0191193,Fitoterapia
Super Concentrado de Soja,49.87,Solgar,LP-0037456,Fitoterapia
SYS Papaya sistema inmune,15.8,Forza Vitale,LP-0037696,Fitoterapia
Cynasine Detox,20.03,Dietmed,LP-0011880,Fitoterapia
Modispag polichrestum modificans sistema nervioso,21.23,Heliosar,LP-0174932,Fitoterapia
Poleo Flor,1.69,Nova Diet,LP-0040438,Fitoterapia
Casenfibra Junior Líquida,18.33,Casen Recordati,LP-0051597,Fitoterapia
Brezo Bio,3.89,Herbes del Molí,LP-0052420,Fitoterapia
Equinácea purpúrea raíz 400mg,10.01,NOW Foods,LP-0141855,Fitoterapia
Manteca de karite Bio,14.55,Physalis,LP-0181642,Fitoterapia
Azeol spray,9.52,Pileje,LP-0181716,Fitoterapia
Hierba Espliego Flor,18.91,Plameca,LP-0038616,Fitoterapia
Diente de León,4.81,Sanon,LP-0015385,Fitoterapia
Drenvin compost celulitis,24.5,Erbenobili,LP-0075883,Fitoterapia
SYS Melissa relajación y bienestar,15.8,Forza Vitale,LP-0026401,Fitoterapia
Definido 802 - Jin Gui Shen Qi Wan,31.41,Erlingen,LP-0190637,Fitoterapia
Liver complex (hígado),39.9,Golden Tree,LP-0214899,Fitoterapia
Schisandra 300 mg,16.81,Ortocel Nutri Therapy,LP-0186559,Fitoterapia
Aceite Esencial Bio de Hierbabuena,6.88,Labiatae,LP-0039101,Fitoterapia
Aceite Esencial Bio de Hierbabuena,6.88,Labiatae,LP-0039101,Fitoterapia
Aceite esencial Mandarina Verde Bio,8.11,Physalis,LP-0040108,Fitoterapia
Biancospino función cardiovascular,11.39,Salus,LP-0067659,Fitoterapia
Maca Negra Bio,16.75,Inkanat,LP-0011954,Fitoterapia
Melioran Imedia,9.83,Pileje,LP-0208576,Fitoterapia
