name,price,brand,sku,Subcategoria
Ergypar tracto digestivo,17.87,Nutergia,LP-0010580,Fitoterapia
Cúrcuma + Pimienta,5.44,Sotya,LP-0014318,Fitoterapia
Ortiga verde,0.81,Plameca,LP-0029086,Fitoterapia
Valeriana y Pasiflora,5.34,Sotya,LP-0048840,Fitoterapia
Extracto de pasiflora Fórmula XXI,9.59,Soria Natural,LP-0036269,Fitoterapia
Diente de León,2.58,Sotya,LP-0015349,Fitoterapia
Aceite de ajo 3000mg - Alicina,7.15,Naturitas Essentials,LP-0123326,Fitoterapia
Jengibre,9.79,Naturitas Essentials,LP-0164030,Fitoterapia
Aceite de Orégano Salvaje,20.3,Sura Vitasan,LP-0029028,Fitoterapia
Hierba Anís Estrellado,2.83,Plameca,LP-0003876,Fitoterapia
Pack Ashwagandha 600 mg,45.5,Naturitas Essentials,LP-0206935,Fitoterapia
Valeriana,10.25,Naturitas Essentials,LP-0149635,Fitoterapia
Depurativo Antártico,23.18,Gianluca Mech,LP-0011635,Fitoterapia
Aceite esencial de árbol de té Bio,5.55,Naturitas Essentials,LP-0214638,Fitoterapia
Bitransamin hígado,12.63,Intersa,LP-0010644,Fitoterapia
Citrobiotic,23,Sanitas,LP-0029693,Fitoterapia
CurcuFit,47.85,100% Natural,LP-0014376,Fitoterapia
Cola de caballo 75mg,2.58,Sotya,LP-0009757,Fitoterapia
Próstata Saw palmetto (extracto de sabal),14.99,Naturitas Essentials,LP-0168039,Fitoterapia
Ashwagandha,22.21,Solaray,LP-0037892,Fitoterapia
Ashwagandha ayurveda orgánico,21.99,Organic India,LP-0038948,Fitoterapia
Alicina,22.3,NPro,LP-0193888,Fitoterapia
Aloe Verum Premium,22.74,Plameca,LP-0003469,Fitoterapia
Cistitus Nox,19.34,Cistitus,LP-0041010,Fitoterapia
Aceite Esencial de Bergamota,9.19,Pranarom,LP-0006890,Fitoterapia
Extracto de cúrcuma con pimienta negra 6000 mg,19.5,Hivital,LP-0073184,Fitoterapia
Aceite esencial de menta piperita Bio,6.35,Zentrity by Naturitas,LP-0152746,Fitoterapia
Equinácea,3.97,Sotya,LP-0015766,Fitoterapia
Glucomanano - Konjac,5.63,Sotya,LP-0037444,Fitoterapia
Ergycox articulaciones,33.61,Nutergia,LP-0012838,Fitoterapia
Ashwagandha forte,11.26,Physalis,LP-0080364,Fitoterapia
Aceite de CBD 20% 6000mg,29.5,Naturitas Essentials,LP-0196309,Fitoterapia
"Cystitis - Arándano rojo premium, D-manosa, FOS, y Vitaminas",23.2,Woments,LP-0172972,Fitoterapia
Alcachofa,2.86,Sotya,LP-0003032,Fitoterapia
Ergyfem Bienestar Menopausia,22.98,Nutergia,LP-0205937,Fitoterapia
Batteril 900,19.96,ESI,LP-0040211,Fitoterapia
Comino Negro,15.3,Sura Vitasan,LP-0010095,Fitoterapia
Diente de León,1.16,Nova Diet,LP-0015384,Fitoterapia
Harpagofito y sauce,9.99,Naturitas Essentials,LP-0119557,Fitoterapia
Hierba de Romero Hoja,0.88,Plameca,LP-0038630,Fitoterapia
"Positive mood - Azafrán, Ashwagandha y Vitaminas B",31.95,Naturitas Essentials,LP-0214651,Fitoterapia
Jengibre Bio,12.79,El Granero Integral,LP-0032309,Fitoterapia
Agua de Rosa Hidrolato Bio,12.44,Terpenic,LP-0019738,Fitoterapia
Hierba Melisa Hoja Triturada,1.82,Plameca,LP-0026415,Fitoterapia
Extracto de aceite de orégano 150 mg,7.07,Swanson,LP-0142089,Fitoterapia
Extracto natural de diente de león,9.27,Soria Natural,LP-0015346,Fitoterapia
Ashwagandha orgánica KSM-66,21.15,Vecos,LP-0210923,Fitoterapia
Aceite de comino negro,13.65,Naturitas Essentials,LP-0210607,Fitoterapia
Bach Rescue Remedy,20.6,Rescue,LP-0016700,Fitoterapia
Shatavari ayurveda orgánico,21.99,Organic India,LP-0038950,Fitoterapia
Castaño de Indias,4.36,Eladiet,LP-0008089,Fitoterapia
Pasiflora,1.33,Nova Diet,LP-0036278,Fitoterapia
Hierba Boldo Extra,0.74,Plameca,LP-0006959,Fitoterapia
Ansiomed Mente positiva,18.22,Bioserum,LP-0012804,Fitoterapia
Aceite de espino amarillo,27.84,Lamberts,LP-0016115,Fitoterapia
Aceite esencial de naranja dulce Bio,9.05,Zentrity by Naturitas,LP-0155949,Fitoterapia
Cistitus Nox Forte,16.43,Cistitus,LP-0144926,Fitoterapia
Salvia,5.99,Naturitas Essentials,LP-0165082,Fitoterapia
Aceite vegetal de rosa mosqueta,12.81,Pranarom,LP-0044335,Fitoterapia
Mucus,39.2,Therascience,LP-0161695,Fitoterapia
Vitex,26.52,Lamberts,LP-0031434,Fitoterapia
Bacter Fs,19.6,Cfn,LP-0012831,Fitoterapia
Ciclofitofem,28.31,Egle,LP-0010912,Fitoterapia
Vein complex - Piernas ligeras,13.39,Woments,LP-0205021,Fitoterapia
Aceite esencial de romero Bio,13.95,Zentrity by Naturitas,LP-0156033,Fitoterapia
Garcinia,3.88,Sotya,LP-0037978,Fitoterapia
Cimicifuga Racemosa,19.38,Bonusan,LP-0037826,Fitoterapia
Aceite De Semillas De Calabaza,4.68,Nature Essential,LP-0038234,Fitoterapia
Enrelax Forte,12.55,Aquilea,LP-0122715,Fitoterapia
Gel de Aloe Vera (Hojas enteras),19.64,Lily of the Desert,LP-0003458,Fitoterapia
Ashwagandha KSM-66® Eco 100% pura,29.97,Aldous Bio,LP-0193186,Fitoterapia
Aquilea Celulite,8.91,Aquilea,LP-0003267,Fitoterapia
Bipole Epa-Bio Detox,16.69,Intersa,LP-0010648,Fitoterapia
"Ashwagandha Ultimate KSM-66, 250 mg",8.69,Swanson,LP-0126551,Fitoterapia
Aceite esencial de naranja dulce,5.5,Pranarom,LP-0037528,Fitoterapia
Aceite esencial de clavo Bio,5.95,Naturitas Essentials,LP-0214637,Fitoterapia
Vinagre de manzana,5.95,Naturtierra,LP-0163618,Fitoterapia
Extracto de rompepiedras (Fórmula XXI),10.21,Soria Natural,LP-0044252,Fitoterapia
Cola de caballo 360mg,10.95,Naturitas Essentials,LP-0158907,Fitoterapia
Aloe digest probiótico,5.15,Sotya,LP-0003443,Fitoterapia
Aceite esencial de bergamota Bio,8.25,Naturitas Essentials,LP-0214627,Fitoterapia
Aceite esencial de limón,5.18,MARNYS®,LP-0009637,Fitoterapia
Extracto de raíz de ashwagandha Eco,24.9,Zenement,LP-0193323,Fitoterapia
Aliviolas fisiolax,20.8,Aboca,LP-0122931,Fitoterapia
Metabolism booster,28.3,Woments,LP-0210792,Fitoterapia
Extracto de ginkgo biloba Fórmula XXI,9.31,Soria Natural,LP-0018745,Fitoterapia
Aceite esencial de Ravintsara,11.7,Pranarom,LP-0037519,Fitoterapia
Triphala ayurveda orgánico,21.99,Organic India,LP-0038951,Fitoterapia
Aceite esencial Citronela de Java Bio,6.35,Zentrity by Naturitas,LP-0168295,Fitoterapia
Echinaforce gotas de A. Vogel,20.45,A.Vogel,LP-0015802,Fitoterapia
Aceite esencial de lavanda Bio,7.15,Naturitas Essentials,LP-0214639,Fitoterapia
Ergyfem Equilibrio Menopausia,22.98,Nutergia,LP-0205938,Fitoterapia
Aceite esencial de ravintsara Bio,8.55,Zentrity by Naturitas,LP-0152716,Fitoterapia
Hierba Malvavisco Raíz,2.01,Plameca,LP-0038623,Fitoterapia
Aceite Esencial Eucalipto,4.3,Pranarom,LP-0016348,Fitoterapia
Oleocaps 1 - Vías respiratorias Bio,10.75,Pranarom,LP-0119021,Fitoterapia
Aloedis,21.46,Dis,LP-0003510,Fitoterapia
HPLR FS,22.47,Cfn,LP-0011736,Fitoterapia
Ergydigest tracto digestivo,17.87,Nutergia,LP-0027854,Fitoterapia
Levadura de Cerveza,5.69,Sotya,LP-0024350,Fitoterapia
Echinaforce Spray garganta,13.8,A.Vogel,LP-0015797,Fitoterapia
Aceite esencial de limón bio,12.95,Naturitas Essentials,LP-0214647,Fitoterapia
Berberina,33.87,Nutilab,LP-0038547,Fitoterapia
Caléndula,1.18,Nova Diet,LP-0007401,Fitoterapia
Berberina 500 mg,23.9,Zenement,LP-0193327,Fitoterapia
Uña de gato,13.95,Naturitas Essentials,LP-0162255,Fitoterapia
Aceite esencial de canela china Bio,4.39,Zentrity by Naturitas,LP-0152703,Fitoterapia
Valeriana,4.8,Naturmil,LP-0048893,Fitoterapia
"Epilobium parviflorum, cuidado de la próstata",12.01,Bhealthy,LP-0170055,Fitoterapia
Extracto natural de equinácea Fórmula XXI,11.56,Soria Natural,LP-0015845,Fitoterapia
Aceite Esencial de Romero,5.85,MARNYS®,LP-0044183,Fitoterapia
